ID,Question,Answer
1,"How do I book an appointment with Dr. Emily Carter?","To book an appointment with Dr. Emily Carter, please provide your preferred date and time. Dr. Carter is available for General Practice and Family Medicine."
2,"What services does Dr. John Smith provide?","Dr. John Smith is a Dentist specializing in Oral Surgery. You can book an appointment for dental consultations or oral surgery needs."
3,"Who is available for Neurology consultations?","Dr. David Lee is a Specialist in Neurology. You can book an appointment with Dr. Lee for neurological assessments or related medical concerns."
4,"I need a psychologist for counseling. Who should I book?","Dr. Susan White is a Psychologist specializing in Counseling. You can schedule an appointment for psychological support or counseling services."
5,"Who can help with orthopedic issues?","Dr. Adam Johnson is a Specialist in Orthopedics. You can book an appointment with Dr. Johnson for orthopedic consultations or treatments."
6,"What are the available services for a General Practitioner?","Dr. Emily Carter and Dr. Lisa Evans are available as General Practitioners. Dr. Carter specializes in Family Medicine, while Dr. Evans focuses on Internal Medicine."
7,"Can I book an appointment with Dr. Lisa Evans for internal medicine?","Yes, Dr. Lisa Evans is available for Internal Medicine. Please provide your preferred date and time."
8,"Who can help with eye problems?","Dr. Clara Hughes is an Ophthalmologist specializing in eye care. You can book an appointment for vision tests or other eye-related issues."
9,"What services does Dr. Paul Harris provide?","Dr. Paul Harris is an ENT Specialist. You can book an appointment for ear, nose, and throat-related issues."
10,"Who is available for pediatrics?","Dr. Rachel Green is a Pediatrician. You can schedule an appointment with Dr. Green for child healthcare needs."
11,"I need help with cardiology. Who should I contact?","Dr. Henry Walker is a Cardiologist. You can book an appointment for cardiac check-ups or consultations."
12,"Who can help with allergies?","Dr. Rebecca Adams is an Allergist. You can book an appointment for allergy testing and treatment."
13,"Who provides dermatology services?","Dr. Natalie Brooks is a Dermatologist. You can schedule an appointment for skin conditions and treatments."
14,"Can I book an appointment with Dr. James Morgan for gastroenterology?","Yes, Dr. James Morgan is a Gastroenterologist specializing in digestive health. Please provide your preferred date and time."
15,"What services does Dr. Olivia Clark offer?","Dr. Olivia Clark is a Rheumatologist specializing in arthritis and musculoskeletal disorders."
16,"Who can provide physical therapy?","Dr. Michael Allen is a Physical Therapist. You can book an appointment for rehabilitation and physical therapy sessions."
17,"I need a general check-up. Who should I see?","You can book a general check-up with Dr. Emily Carter or Dr. Lisa Evans."
18,"Who can help with diabetes management?","Dr. Charles White is an Endocrinologist specializing in diabetes management."
19,"Who is available for nutrition counseling?","Dr. Emily Brown is a Nutritionist. You can schedule an appointment for dietary guidance and nutrition counseling."
20,"What services does Dr. Jason King offer?","Dr. Jason King is a Urologist specializing in urinary and male reproductive health."
21,"Who can I see for anxiety and mental health issues?","Dr. Susan White, a Psychologist, is available for counseling and mental health support."
22,"Can I book an appointment with Dr. Kevin Wright for physiotherapy?","Yes, Dr. Kevin Wright is a Physiotherapist. Please provide your preferred date and time."
23,"Who is available for arthritis treatment?","Dr. Olivia Clark, a Rheumatologist, can help with arthritis treatment."
